Nama,Category,Place,Price,Rating,Comment,Link_gmaps,Images,
Luhur Uluwatu Temple,Heritage and Culture,Badung,30000,4.6,27257,https://g.page/Uluwatu?share,https://a.cdn-hotels.com/gdcs/production142/d1653/b667788d-ebdf-4b27-8bab-22bc59175055.jpg,
Saraswati Temple,Heritage and Culture,Gianyar,80000,4.4,2957,https://goo.gl/maps/YMh8PsNGHV547wE76,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/54/f4/01/saraswati-temple-in-ubud.jpg?w=1200&h=-1&s=1,
Taman Sari Semarapura Temple,Heritage and Culture,Klungkung,0,4.9,12,https://goo.gl/maps/ycoHyZJYdGbmywGZ7,https://4.bp.blogspot.com/-BWiCc6a88KE/W9AhG2Fm7LI/AAAAAAAAY5Q/NO4q6aMxsSUfvzBzRnEU0mtK4NbSMjyTQCLcBGAs/s1600/sari_1c.jpg,
Maduwe Karang Temple,Heritage and Culture,Buleleng,0,4.6,182,https://goo.gl/maps/BNmt2eehQctNxSdb6,https://www.balitravelhub.com/wp-content/uploads/2017/08/Meduwe-Karang-Hindu-Temple-03.jpg,
Tirta Gangga,Heritage and Culture,Karangasem,25000,4.6,11265,https://g.page/Taman-Tirtagangga?share,https://natantransport.com/wp-content/uploads/2019/04/Tirta-Gangga.jpg,
Sada Puru Temple (Kahyangan Jagat),Heritage and Culture,Badung,15000,4.7,136,https://goo.gl/maps/YeSBy8xvdwJRCbt29,https://i0.wp.com/www.mantrahindu.com/wp-content/uploads/2016/04/pura-besakih.jpg?fit=4320%2C2880&ssl=1,
Sasih Penataran Temple,Heritage and Culture,Gianyar,10000,4.7,324,https://goo.gl/maps/2z4d326X2iJyJdnGA,https://img-asset-01.visitbali.id/skg0Xqe0H6XKktFwyoFBiG0XttH5laGjzHASQ73wsWE/fill/650/450/no/0/aHR0cHM6Ly92aXNpdGJhbGkuaWQvaW1hZ2VzL2RhdGEvMjAxOS9KdW4vMjcvNWQxNGFhMzZhOWZjMDQxZjEuanBn.jpg,
Kertha Gosa Park,Heritage and Culture,Klungkung,15000,4.5,2985,https://goo.gl/maps/PGin3FJvD1q24fCE7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/c3/3b/7d/templo.jpg?w=1200&h=1200&s=1,
Dalem Balingkang Temple,Heritage and Culture,Bangli,0,4.8,297,https://goo.gl/maps/Wjzx3BMobjrhg9iX8,http://www.balitoursclub.net/wp-content/uploads/2017/05/Gedong-linggih-Ratu-Mas-Subandar-Kang-Cing-We.jpg,
Ulundanu Beratan Temple,Heritage and Culture,Tabanan,20000,4.7,25962,https://goo.gl/maps/4b7RAHD1vGo4kqb6A,https://a.cdn-hotels.com/gdcs/production62/d679/115f67b3-1da1-4c57-93c5-9e8f7635e571.jpg?impolicy=fcrop&w=800&h=533&q=medium,
Tanah Lot Beach,Heritage and Culture,Tabanan,15000,4.6,71776,https://goo.gl/maps/ef9Ze95kDpJZBLcs8,https://i2.wp.com/www.agoda.com/wp-content/uploads/2020/01/Sunrise-Tanah-Lot-Temple.jpg?ssl=1,
Luhur Tambawaras Temple,Heritage and Culture,Tabanan,15000,4.6,378,https://goo.gl/maps/SiC3AETPL8omFErHA,http://www.balitoursclub.net/wp-content/uploads/2017/09/Pura-Luhur-Tambawaras-Tabanan.jpg,
Ponjok Batu Temple,Heritage and Culture,Buleleng,,4.7,455,https://goo.gl/maps/PANcF23gnhWTfSof8,https://www.kintamani.id/wp-content/uploads/Pura-Ponjok-Batu-Buleleng-3-1024x680.jpg,
